# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
i16	=	u32	i16
i16	=	u64	i16
i16	=	ptr	i16
i16	=	arr	i16
i16	=	struct	i16
i16	=	fn	i16
i16	=	f32	i16
i16	=	f64	i16
i16	&	void	illegal
i16	&	i8	i32
i16	&	i16	i32
i16	&	i32	i32
i16	&	i64	i64
i16	&	u8	i32
i16	&	u16	i32
i16	&	u32	u32
i16	&	u64	u64
i16	&	ptr	illegal
i16	&	arr	illegal
i16	&	struct	illegal
i16	&	fn	illegal
i16	&	f32	illegal
i16	&	f64	illegal
i16	[]	void	illegal
i16	[]	i8	illegal
i16	[]	i16	illegal
i16	[]	i32	illegal
i16	[]	i64	illegal
i16	[]	u8	illegal
i16	[]	u16	illegal
i16	[]	u32	illegal
i16	[]	u64	illegal
i16	[]	ptr	illegal
i16	[]	arr	illegal
i16	[]	struct	illegal
i16	[]	fn	illegal
i16	[]	f32	illegal
i16	[]	f64	illegal
i16	.	void	illegal
i16	.	i8	illegal
i16	.	i16	illegal
i16	.	i32	illegal
i16	.	i64	illegal
i16	.	u8	illegal
i16	.	u16	illegal
i16	.	u32	illegal
i16	.	u64	illegal
i16	.	ptr	illegal
i16	.	arr	illegal
i16	.	struct	illegal
i16	.	fn	illegal
i16	.	f32	illegal
i16	.	f64	illegal
i16	call	void	illegal
i16	call	i8	illegal
i16	call	i16	illegal
i16	call	i32	illegal
i16	call	i64	illegal
i16	call	u8	illegal
i16	call	u16	illegal
i16	call	u32	illegal
i16	call	u64	illegal
i16	call	ptr	illegal
i16	call	arr	illegal
i16	call	struct	illegal
i16	call	fn	illegal
i16	call	f32	illegal
i16	call	f64	illegal
i16	sizeof	void	i64
i16	sizeof	i8	i64
i16	sizeof	i16	i64
i16	sizeof	i32	i64
i16	sizeof	i64	i64
i16	sizeof	u8	i64
i16	sizeof	u16	i64
i16	sizeof	u32	i64
i16	sizeof	u64	i64
i16	sizeof	ptr	i64
i16	sizeof	arr	i64
i16	sizeof	struct	i64
i16	sizeof	fn	i64
i16	sizeof	f32	i64
i16	sizeof	f64	i64
i16	,	void	void
i16	,	i8	i8
i16	,	i16	i16
i16	,	i32	i32
i16	,	i64	i64
i16	,	u8	u8
i16	,	u16	u16
i16	,	u32	u32
i16	,	u64	u64
i16	,	ptr	ptr
i16	,	arr	arr
i16	,	struct	struct
i16	,	fn	fn
i16	,	f32	f32
i16	,	f64	f64
i16	un*	void	illegal
i16	un*	i8	illegal
i16	un*	i16	illegal
i16	un*	i32	illegal
i16	un*	i64	illegal
i16	un*	u8	illegal
i16	un*	u16	illegal
i16	un*	u32	illegal
i16	un*	u64	illegal
i16	un*	ptr	illegal
i16	un*	arr	illegal
i16	un*	struct	illegal
i16	un*	fn	illegal
i16	un*	f32	illegal
i16	un*	f64	illegal
i16	|	void	illegal
i16	|	i8	i32
i16	|	i16	i32
i16	|	i32	i32
i16	|	i64	i64
i16	|	u8	i32
i16	|	u16	i32
i16	|	u32	u32
i16	|	u64	u64
i16	|	ptr	illegal
i16	|	arr	illegal
i16	|	struct	illegal
i16	|	fn	illegal
i16	|	f32	illegal
i16	|	f64	illegal
i16	^	void	illegal
i16	^	i8	i32
i16	^	i16	i32
i16	^	i32	i32
i16	^	i64	i64
i16	^	u8	i32
i16	^	u16	i32
i16	^	u32	u32
i16	^	u64	u64
i16	^	ptr	illegal
i16	^	arr	illegal
i16	^	struct	illegal
i16	^	fn	illegal
i16	^	f32	illegal
i16	^	f64	illegal
i16	<<	void	illegal
i16	<<	i8	i32
i16	<<	i16	i32
i16	<<	i32	i32
i16	<<	i64	i32
i16	<<	u8	i32
i16	<<	u16	i32
i16	<<	u32	i32
i16	<<	u64	i32
i16	<<	ptr	illegal
i16	<<	arr	illegal
i16	<<	struct	illegal
i16	<<	fn	illegal
i16	<<	f32	illegal
i16	<<	f64	illegal
i16	>>	void	illegal
i16	>>	i8	i32
i16	>>	i16	i32
i16	>>	i32	i32
i16	>>	i64	i32
i16	>>	u8	i32
i16	>>	u16	i32
i16	>>	u32	i32
i16	>>	u64	i32
i16	>>	ptr	illegal
i16	>>	arr	illegal
i16	>>	struct	illegal
i16	>>	fn	illegal
i16	>>	f32	illegal
i16	>>	f64	illegal
i32	+	void	illegal
i32	+	i8	i32
i32	+	i16	i32
i32	+	i32	i32
i32	+	i64	i64
i32	+	u8	i32
i32	+	u16	i32
i32	+	u32	u32
i32	+	u64	u64
i32	+	ptr	ptr
i32	+	arr	ptr
i32	+	struct	illegal
i32	+	fn	illegal
i32	+	f32	f32
i32	+	f64	f64
i32	-	void	illegal
i32	-	i8	i32
i32	-	i16	i32
i32	-	i32	i32
i32	-	i64	i64
i32	-	u8	i32
i32	-	u16	i32
i32	-	u32	u32
i32	-	u64	u64
i32	-	ptr	illegal
i32	-	arr	illegal
i32	-	struct	illegal
i32	-	fn	illegal
i32	-	f32	f32
i32	-	f64	f64
i32	*	void	illegal
i32	*	i8	i32
i32	*	i16	i32
i32	*	i32	i32
i32	*	i64	i64
i32	*	u8	i32
i32	*	u16	i32
i32	*	u32	u32
i32	*	u64	u64
i32	*	ptr	illegal
i32	*	arr	illegal
i32	*	struct	illegal
i32	*	fn	illegal
i32	*	f32	f32
i32	*	f64	f64
i32	/	void	illegal
i32	/	i8	i32
i32	/	i16	i32
i32	/	i32	i32
i32	/	i64	i64
i32	/	u8	i32
