# stage peep: 1632 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	a	store64	load64	imm	mov	jump	jumpz	alu	other
#field	b	store64	load64	imm	mov	jump	jumpz	add64	sub64	mul64	shl64	shr64	lshr64	or64	xor64	and64	other	none
#field	rel	none	same_slot	same_slot_same_reg	const0	const1	pow2	copy_dead	to_next	to_jump	a_dead	dest_to_mov	copy_into
#head	y	-	keep	load_to_mov	drop_b	drop_a	retarget	to_mov	to_shl	fold_imm	retarget_dest	fold_copy
a	b	rel	=> y
imm	jump	same_slot_same_reg	keep
imm	jump	const0	keep
imm	jump	const1	keep
imm	jump	pow2	keep
imm	jump	copy_dead	keep
imm	jump	to_next	keep
imm	jump	to_jump	keep
imm	jump	a_dead	drop_a
imm	jump	dest_to_mov	keep
imm	jump	copy_into	keep
imm	jumpz	none	keep
imm	jumpz	same_slot	keep
imm	jumpz	same_slot_same_reg	keep
imm	jumpz	const0	keep
imm	jumpz	const1	keep
imm	jumpz	pow2	keep
imm	jumpz	copy_dead	keep
imm	jumpz	to_next	keep
imm	jumpz	to_jump	keep
imm	jumpz	a_dead	drop_a
imm	jumpz	dest_to_mov	keep
imm	jumpz	copy_into	keep
imm	add64	none	keep
imm	add64	same_slot	keep
imm	add64	same_slot_same_reg	keep
imm	add64	const0	to_mov
imm	add64	const1	keep
imm	add64	pow2	keep
imm	add64	copy_dead	keep
imm	add64	to_next	keep
imm	add64	to_jump	keep
imm	add64	a_dead	drop_a
imm	add64	dest_to_mov	keep
imm	add64	copy_into	keep
imm	sub64	none	keep
imm	sub64	same_slot	keep
imm	sub64	same_slot_same_reg	keep
imm	sub64	const0	to_mov
imm	sub64	const1	keep
imm	sub64	pow2	keep
imm	sub64	copy_dead	keep
imm	sub64	to_next	keep
imm	sub64	to_jump	keep
imm	sub64	a_dead	drop_a
imm	sub64	dest_to_mov	keep
imm	sub64	copy_into	keep
imm	mul64	none	keep
imm	mul64	same_slot	keep
imm	mul64	same_slot_same_reg	keep
imm	mul64	const0	keep
imm	mul64	const1	to_mov
imm	mul64	pow2	keep
imm	mul64	copy_dead	keep
imm	mul64	to_next	keep
imm	mul64	to_jump	keep
imm	mul64	a_dead	drop_a
imm	mul64	dest_to_mov	keep
imm	mul64	copy_into	keep
imm	shl64	none	keep
imm	shl64	same_slot	keep
imm	shl64	same_slot_same_reg	keep
imm	shl64	const0	to_mov
imm	shl64	const1	keep
imm	shl64	pow2	keep
imm	shl64	copy_dead	keep
imm	shl64	to_next	keep
imm	shl64	to_jump	keep
imm	shl64	a_dead	drop_a
imm	shl64	dest_to_mov	keep
imm	shl64	copy_into	keep
imm	shr64	none	keep
imm	shr64	same_slot	keep
imm	shr64	same_slot_same_reg	keep
imm	shr64	const0	to_mov
imm	shr64	const1	keep
imm	shr64	pow2	keep
imm	shr64	copy_dead	keep
imm	shr64	to_next	keep
imm	shr64	to_jump	keep
imm	shr64	a_dead	drop_a
imm	shr64	dest_to_mov	keep
imm	shr64	copy_into	keep
imm	lshr64	none	keep
imm	lshr64	same_slot	keep
imm	lshr64	same_slot_same_reg	keep
imm	lshr64	const0	to_mov
imm	lshr64	const1	keep
imm	lshr64	pow2	keep
imm	lshr64	copy_dead	keep
imm	lshr64	to_next	keep
imm	lshr64	to_jump	keep
imm	lshr64	a_dead	drop_a
imm	lshr64	dest_to_mov	keep
imm	lshr64	copy_into	keep
imm	or64	none	keep
imm	or64	same_slot	keep
imm	or64	same_slot_same_reg	keep
imm	or64	const0	to_mov
imm	or64	const1	keep
imm	or64	pow2	keep
imm	or64	copy_dead	keep
imm	or64	to_next	keep
imm	or64	to_jump	keep
imm	or64	a_dead	drop_a
imm	or64	dest_to_mov	keep
imm	or64	copy_into	keep
imm	xor64	none	keep
imm	xor64	same_slot	keep
imm	xor64	same_slot_same_reg	keep
imm	xor64	const0	to_mov
imm	xor64	const1	keep
imm	xor64	pow2	keep
imm	xor64	copy_dead	keep
imm	xor64	to_next	keep
imm	xor64	to_jump	keep
imm	xor64	a_dead	drop_a
imm	xor64	dest_to_mov	keep
imm	xor64	copy_into	keep
imm	and64	none	keep
imm	and64	same_slot	keep
imm	and64	same_slot_same_reg	keep
imm	and64	const0	keep
imm	and64	const1	keep
imm	and64	pow2	keep
imm	and64	copy_dead	keep
imm	and64	to_next	keep
imm	and64	to_jump	keep
imm	and64	a_dead	drop_a
imm	and64	dest_to_mov	keep
imm	and64	copy_into	keep
imm	other	none	keep
imm	other	same_slot	keep
imm	other	same_slot_same_reg	keep
imm	other	const0	keep
imm	other	const1	keep
imm	other	pow2	keep
imm	other	copy_dead	keep
imm	other	to_next	keep
imm	other	to_jump	keep
imm	other	a_dead	drop_a
imm	other	dest_to_mov	keep
imm	other	copy_into	keep
imm	none	none	keep
imm	none	same_slot	keep
imm	none	same_slot_same_reg	keep
imm	none	const0	keep
imm	none	const1	keep
imm	none	pow2	keep
imm	none	copy_dead	keep
imm	none	to_next	keep
imm	none	to_jump	keep
imm	none	a_dead	drop_a
imm	none	dest_to_mov	keep
imm	none	copy_into	keep
mov	store64	none	keep
mov	store64	same_slot	keep
mov	store64	same_slot_same_reg	keep
mov	store64	const0	keep
mov	store64	const1	keep
mov	store64	pow2	keep
mov	store64	copy_dead	keep
mov	store64	to_next	keep
mov	store64	to_jump	keep
mov	store64	a_dead	drop_a
mov	store64	dest_to_mov	keep
mov	store64	copy_into	fold_copy
mov	load64	none	keep
mov	load64	same_slot	keep
mov	load64	same_slot_same_reg	keep
mov	load64	const0	keep
mov	load64	const1	keep
mov	load64	pow2	keep
mov	load64	copy_dead	keep
mov	load64	to_next	keep
mov	load64	to_jump	keep
mov	load64	a_dead	drop_a
mov	load64	dest_to_mov	keep
mov	load64	copy_into	fold_copy
mov	imm	none	keep
mov	imm	same_slot	keep
mov	imm	same_slot_same_reg	keep
mov	imm	const0	keep
mov	imm	const1	keep
mov	imm	pow2	keep
mov	imm	copy_dead	keep
mov	imm	to_next	keep
mov	imm	to_jump	keep
mov	imm	a_dead	drop_a
mov	imm	dest_to_mov	keep
mov	imm	copy_into	fold_copy
mov	mov	none	keep
mov	mov	same_slot	keep
mov	mov	same_slot_same_reg	keep
mov	mov	const0	keep
mov	mov	const1	keep
mov	mov	pow2	keep
mov	mov	copy_dead	keep
mov	mov	to_next	keep
mov	mov	to_jump	keep
mov	mov	a_dead	drop_a
mov	mov	dest_to_mov	retarget_dest
mov	mov	copy_into	fold_copy
mov	jump	none	keep
mov	jump	same_slot	keep
mov	jump	same_slot_same_reg	keep
mov	jump	const0	keep
mov	jump	const1	keep
mov	jump	pow2	keep
mov	jump	copy_dead	keep
mov	jump	to_next	keep
mov	jump	to_jump	keep
mov	jump	a_dead	drop_a
mov	jump	dest_to_mov	keep
mov	jump	copy_into	fold_copy
mov	jumpz	none	keep
mov	jumpz	same_slot	keep
mov	jumpz	same_slot_same_reg	keep
mov	jumpz	const0	keep
mov	jumpz	const1	keep
mov	jumpz	pow2	keep
mov	jumpz	copy_dead	keep
mov	jumpz	to_next	keep
mov	jumpz	to_jump	keep
mov	jumpz	a_dead	drop_a
mov	jumpz	dest_to_mov	keep
mov	jumpz	copy_into	fold_copy
mov	add64	none	keep
mov	add64	same_slot	keep
mov	add64	same_slot_same_reg	keep
mov	add64	const0	keep
mov	add64	const1	keep
mov	add64	pow2	keep
mov	add64	copy_dead	keep
mov	add64	to_next	keep
mov	add64	to_jump	keep
mov	add64	a_dead	drop_a
mov	add64	dest_to_mov	keep
mov	add64	copy_into	fold_copy
mov	sub64	none	keep
mov	sub64	same_slot	keep
mov	sub64	same_slot_same_reg	keep
mov	sub64	const0	keep
mov	sub64	const1	keep
mov	sub64	pow2	keep
mov	sub64	copy_dead	keep
mov	sub64	to_next	keep
mov	sub64	to_jump	keep
mov	sub64	a_dead	drop_a
mov	sub64	dest_to_mov	keep
mov	sub64	copy_into	fold_copy
mov	mul64	none	keep
mov	mul64	same_slot	keep
mov	mul64	same_slot_same_reg	keep
mov	mul64	const0	keep
mov	mul64	const1	keep
mov	mul64	pow2	keep
mov	mul64	copy_dead	keep
mov	mul64	to_next	keep
mov	mul64	to_jump	keep
mov	mul64	a_dead	drop_a
mov	mul64	dest_to_mov	keep
mov	mul64	copy_into	fold_copy
mov	shl64	none	keep
mov	shl64	same_slot	keep
mov	shl64	same_slot_same_reg	keep
mov	shl64	const0	keep
mov	shl64	const1	keep
mov	shl64	pow2	keep
mov	shl64	copy_dead	keep
mov	shl64	to_next	keep
mov	shl64	to_jump	keep
mov	shl64	a_dead	drop_a
mov	shl64	dest_to_mov	keep
mov	shl64	copy_into	fold_copy
mov	shr64	none	keep
mov	shr64	same_slot	keep
mov	shr64	same_slot_same_reg	keep
mov	shr64	const0	keep
mov	shr64	const1	keep
mov	shr64	pow2	keep
mov	shr64	copy_dead	keep
mov	shr64	to_next	keep
mov	shr64	to_jump	keep
mov	shr64	a_dead	drop_a
mov	shr64	dest_to_mov	keep
mov	shr64	copy_into	fold_copy
mov	lshr64	none	keep
mov	lshr64	same_slot	keep
mov	lshr64	same_slot_same_reg	keep
mov	lshr64	const0	keep
mov	lshr64	const1	keep
mov	lshr64	pow2	keep
mov	lshr64	copy_dead	keep
mov	lshr64	to_next	keep
mov	lshr64	to_jump	keep
mov	lshr64	a_dead	drop_a
mov	lshr64	dest_to_mov	keep
mov	lshr64	copy_into	fold_copy
mov	or64	none	keep
mov	or64	same_slot	keep
mov	or64	same_slot_same_reg	keep
mov	or64	const0	keep
mov	or64	const1	keep
mov	or64	pow2	keep
mov	or64	copy_dead	keep
mov	or64	to_next	keep
mov	or64	to_jump	keep
mov	or64	a_dead	drop_a
mov	or64	dest_to_mov	keep
mov	or64	copy_into	fold_copy
mov	xor64	none	keep
mov	xor64	same_slot	keep
mov	xor64	same_slot_same_reg	keep
mov	xor64	const0	keep
mov	xor64	const1	keep
mov	xor64	pow2	keep
mov	xor64	copy_dead	keep
mov	xor64	to_next	keep
mov	xor64	to_jump	keep
